?јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;NZVC;јдр;«нчн;;;
250;EEFD;250;0000;000;0000;000;0000;0000;0100;;;;;
250;EEFD;251;EEFD;24E;0000;000;FFFD;0000;0100;24E;0000;;;
251;AF04;252;AF04;251;0004;000;0004;0004;0000;;;;;
252;EEFA;253;EEFA;24D;0004;000;FFFA;0004;0000;24D;0004;;;
253;AEF7;254;AEF7;24B;07FE;000;FFF7;07FE;0000;;;;;
254;EEF7;255;EEF7;24C;07FE;000;FFF7;07FE;0000;24C;07FE;;;
255;AAF6;256;AAF6;7FE;0000;000;FFF6;0000;0100;24C;07FF;;;
256;F202;257;F202;256;F202;000;0256;0000;0100;;;;;
257;4EF6;258;4EF6;24E;0000;000;FFF6;0000;0100;;;;;
258;EEF5;259;EEF5;24E;0000;000;FFF5;0000;0100;24E;0000;;;
259;824D;25A;824D;24D;0003;000;0002;0000;0100;24D;0003;;;
25A;CEFA;255;CEFA;25A;0255;000;FFFA;0000;0100;;;;;
255;AAF6;256;AAF6;7FF;FFFF;000;FFF6;FFFF;1000;24C;0800;;;
256;F202;259;F202;256;F202;000;0002;FFFF;1000;;;;;
259;824D;25A;824D;24D;0002;000;0001;FFFF;1000;24D;0002;;;
25A;CEFA;255;CEFA;25A;0255;000;FFFA;FFFF;1000;;;;;
255;AAF6;256;AAF6;000;6400;000;FFF6;6400;0000;24C;0801;;;
256;F202;257;F202;256;F202;000;0256;6400;0000;;;;;
257;4EF6;258;4EF6;24E;0000;000;FFF6;6400;0000;;;;;
258;EEF5;259;EEF5;24E;6400;000;FFF5;6400;0000;24E;6400;;;
259;824D;25A;824D;24D;0001;000;0000;6400;0000;24D;0001;;;
25A;CEFA;255;CEFA;25A;0255;000;FFFA;6400;0000;;;;;
255;AAF6;256;AAF6;001;0020;000;FFF6;0020;0000;24C;0802;;;
256;F202;257;F202;256;F202;000;0256;0020;0000;;;;;
257;4EF6;258;4EF6;24E;6400;000;FFF6;6420;0000;;;;;
258;EEF5;259;EEF5;24E;6420;000;FFF5;6420;0000;24E;6420;;;
259;824D;25B;824D;24D;0000;000;FFFF;6420;0000;24D;0000;;;
25B;100;25C;0100;25B;0100;000;025B;6420;0000;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн;;;;;;;;;;;;;;
250,EEFD,250,0000,000,0000,000,0000,0000,004,0100;;;;;;;;;;;;;;
250,EEFD,251,EEFD,24E,0000,000,FFFD,0000,004,0100,24E,0000;;;;;;;;;;;;;;
251,AF04,252,AF04,251,0004,000,0004,0004,000,0000;;;;;;;;;;;;;;
252,EEFA,253,EEFA,24D,0004,000,FFFA,0004,000,0000,24D,0004;;;;;;;;;;;;;;
253,AEF7,254,AEF7,24B,07FE,000,FFF7,07FE,000,0000;;;;;;;;;;;;;;
254,EEF7,255,EEF7,24C,07FE,000,FFF7,07FE,000,0000,24C,07FE;;;;;;;;;;;;;;
255,AAF6,256,AAF6,7FE,0000,000,FFF6,0000,004,0100,24C,07FF;;;;;;;;;;;;;;
256,F202,257,F202,256,F202,000,0256,0000,004,0100;;;;;;;;;;;;;;
257,4EF6,258,4EF6,24E,0000,000,FFF6,0000,004,0100;;;;;;;;;;;;;;
258,EEF5,259,EEF5,24E,0000,000,FFF5,0000,004,0100,24E,0000;;;;;;;;;;;;;;
259,824D,25A,824D,24D,0003,000,0002,0000,004,0100,24D,0003;;;;;;;;;;;;;;
25A,CEFA,255,CEFA,25A,0255,000,FFFA,0000,004,0100;;;;;;;;;;;;;;
255,AAF6,256,AAF6,7FF,FFFF,000,FFF6,FFFF,008,1000,24C,0800;;;;;;;;;;;;;;
256,F202,259,F202,256,F202,000,0002,FFFF,008,1000;;;;;;;;;;;;;;
259,824D,25A,824D,24D,0002,000,0001,FFFF,008,1000,24D,0002;;;;;;;;;;;;;;
25A,CEFA,255,CEFA,25A,0255,000,FFFA,FFFF,008,1000;;;;;;;;;;;;;;
255,AAF6,256,AAF6,000,6400,000,FFF6,6400,000,0000,24C,0801;;;;;;;;;;;;;;
256,F202,257,F202,256,F202,000,0256,6400,000,0000;;;;;;;;;;;;;;
257,4EF6,258,4EF6,24E,0000,000,FFF6,6400,000,0000;;;;;;;;;;;;;;
258,EEF5,259,EEF5,24E,6400,000,FFF5,6400,000,0000,24E,6400;;;;;;;;;;;;;;
259,824D,25A,824D,24D,0001,000,0000,6400,000,0000,24D,0001;;;;;;;;;;;;;;
25A,CEFA,255,CEFA,25A,0255,000,FFFA,6400,000,0000;;;;;;;;;;;;;;
255,AAF6,256,AAF6,001,0020,000,FFF6,0020,000,0000,24C,0802;;;;;;;;;;;;;;
256,F202,257,F202,256,F202,000,0256,0020,000,0000;;;;;;;;;;;;;;
257,4EF6,258,4EF6,24E,6400,000,FFF6,6420,000,0000;;;;;;;;;;;;;;
258,EEF5,259,EEF5,24E,6420,000,FFF5,6420,000,0000,24E,6420;;;;;;;;;;;;;;
259,824D,25B,824D,24D,0000,000,FFFF,6420,000,0000,24D,0000;;;;;;;;;;;;;;
25B,0100,25C,0100,25B,0100,000,025B,6420,000,0000;;;;;;;;;;;;;;
